,,,,,,,,,,,,,,,
no,group name,sun on,sun off,mon on,mon off,tue on,tue off,wed on,wed off,thu on,thu off,fri on,fri off,sat on,sat off
dev:51,,,,,,0,1,2,3,,,,,,
dev:52,,,,,,0,1,2,3,,,,,,
dev:53,,,,,,0,1,2,3,,,,,,
dev:54,,,,,,0,1,2,3,,,,,,
dev:55,,,,,,0,1,2,3,,,,,,
dev:56,,,,,,0,1,2,3,,,,,,
dev:57,,,,,,0,1,2,3,,,,,,
dev:58,,,,,,0,1,2,3,,,,,,
dev:59,,,,,,0,1,2,3,,,,,,
dev:60,,,,,,0,1,2,3,,,,,,
dev:61,,,,,,0,1,2,3,,,,,,
dev:62,,,,,,0,1,2,3,,,,,,
dev:63,,,,,,0,1,2,3,,,,,,
dev:64,,,,,,0,1,2,3,,,,,,
dev:65,,,,,,0,1,2,3,,,,,,
dev:66,,,,,,0,1,2,3,,,,,,
dev:67,,,,,,0,1,2,3,,,,,,
dev:68,,,,,,0,1,2,3,,,,,,
dev:69,,,,,,0,1,2,3,,,,,,
dev:70,,,,,,0,1,2,3,,,,,,
dev:71,,,,,,0,1,2,3,,,,,,
dev:72,,,,,,0,1,2,3,,,,,,
dev:73,,,,,,0,1,2,3,,,,,,
dev:74,,,,,,0,1,2,3,,,,,,
dev:75,,,,,,0,1,2,3,,,,,,
dev:76,,,,,,0,1,2,3,,,,,,
dev:77,,,,,,0,1,2,3,,,,,,
dev:78,,,,,,0,1,2,3,,,,,,
dev:79,,,,,,0,1,2,3,,,,,,
dev:80,,,,,,0,1,2,3,,,,,,
dev:81,,,,,,0,1,2,3,,,,,,
dev:82,,,,,,0,1,2,3,,,,,,
dev:83,,,,,,0,1,2,3,,,,,,
dev:84,,,,,,0,1,2,3,,,,,,
dev:85,,,,,,0,1,2,3,,,,,,
dev:86,,,,,,0,1,2,3,,,,,,
dev:87,,,,,,0,1,2,3,,,,,,
dev:88,,,,,,0,1,2,3,,,,,,
dev:89,,,,,,0,1,2,3,,,,,,
dev:90,,,,,,0,1,2,3,,,,,,
